,title,details,content
0,New York Declares State of Emergency Over Polio After Virus Found In Wastewater,"Brandon Sapienza   | Sunday September 11, 2022",New York declared a state of emergency over polio in an effort to boost vaccination rates after evidence of the virus's spread mounted when it was found in wastewater samples.
1,JEE Advanced 2022 Result Out; Pass Percentage Dips To 26.17 Per Cent,"Written by Arnab Mitra  | Sunday September 11, 2022","JEE Advanced 2022 Result: A total of 26.17 per cent candidates qualified in the engineering entrance this year, last year the pass percentage was 30 per cent"
2,"1 Killed, 20 Injured And Several Missing After Surat Factory Fire","Press Trust of India   | Sunday September 11, 2022, Surat","A worker was killed, 20 others were injured and three went missing after a major fire broke out in a chemical factory in Gujarat's Surat city, officials said on Sunday."
3,"""Very Poor Shot Selection"": Former Pakistan Captain Slams Babar Azam And Co's Batting Against Sri Lanka","Vedant Yadav   | Sunday September 11, 2022",Former Pakistan captain Salman Butt was not impressed with the Babar Azam-led side's batting in the Asia Cup match against Sri Lanka
4,Nawabi Kababi Offers A Slice Of Old Delhi Through Its Lip-Smacking Kebabs,"Neha Grover   | Sunday September 11, 2022",The cloud kitchen offers over 50 types of mouth-watering kebabs to choose from.
5,12 Kg Gold Worth Rs 5.38 Crore Seized At Mumbai Airport,"Asian News International   | Sunday September 11, 2022, Mumbai",Twelve-kilogram gold valued at Rs 5.38 Crore has been seized by the officers of the Mumbai Airport customs on Sunday.
6,"Video: Doctor, Son Say Beaten For Delay In Opening Clinic Door","Reported by Sunil Singh, Edited by Supriti David  | Sunday September 11, 2022, Maharashtra","A doctor was beaten by a group of men in Maharashtra's Baramati on September 6 after he opened the clinic door late to let them in, police said."
7,"In AAP vs Delhi Lt Governor, Probe Into Purchase Of Buses New Flashpoint","Reported by Sharad Sharma | Sunday September 11, 2022, New Delhi","Delhi's Lieutenant-Governor VK Saxena has given approval for a probe into the purchase of 1,000 low-floor buses by the Delhi government, escalating friction with the Aam Aadmi Party government headed by Arvind Kejriwal in the national capital. The De"
8,Viral: Kartik Aaryan And Sara Ali Khan Spotted Chatting At Award Show,"Written by Niharika Sanjeeiv  | Sunday September 11, 2022, New Delhi",Kartik Aaryan and Sara Ali Khan reportedly dated each other
9,7 Of Top 10 Most Valued Firms' Market Value Reaches Rs 1.33 Lakh Crore,"Press Trust of India   | Sunday September 11, 2022, New Delhi","The combined market valuation of seven of the top 10 most-valued firms climbed Rs 1,33,746.87 crore last week amid a firm trend in equities, with Tata Consultancy Services (TCS), Reliance Industries and Infosys leading the pack of gainers."
10,"India Women vs England Women: ""We Forcefully Played,"" Says Harmanpreet Kaur After Defeat In 1st T20I","Press Trust of India   | Sunday September 11, 2022","India women's team captain Harmanpreet Kaur said the side ""forcefully played"" in wet conditions in the first T20 International against England here, resulting in a nine-wicket defeat for the tourists."
11,"Fake Invoice Racket Worth Rs 132 Crore Busted In Mumbai, 1 Arrested","Asian News International   | Sunday September 11, 2022, Mumbai",The Bhiwandi Commisionerate of Central Goods and Services Tax (CGST) in Mumbai Zone busted a fake invoice racket worth Rs 132 crore and availing/passing on Input Tax credit of Rs 23 crore.
12,Video: Muffled Church Bells Toll For The First Time In 70 Years Across UK In Tribute To Queen Elizabeth,"Edited by Bhavya Sukheja  | Sunday September 11, 2022","On Friday, churches across the United Kingdom marked their respect for Queen Elizabeth II by ringing their bells - specifically with muffles in order to create a more solemn sound."
13,"JEE Advanced 2022 Result Out; R K Shishir Secures Rank 1, Tanishka Kabra Is Female Topper","Written by Arnab Mitra  | Sunday September 11, 2022","JEE Advanced 2022 Result: According to IIT Bombay, R K Shishir topped the engineering entrance exam this year with 314 marks. The female topper is Tanishka Kabra with 277 marks, her overall rank is AIR 16"
14,What England Pacer Ollie Robinson Said About Singing New UK National Anthem,"Agence France-Presse   | Sunday September 11, 2022",Ollie Robinson revealed England cricketers had worries about singing the new British national anthem at the Oval on Saturday in case they got the words wrong.
